Population,Individual_ID,Shell_size
2,1,23.4
2,2,21.2
2,3,21.4
2,4,19.4
2,5,21.2
2,6,22.4
2,7,20.4
2,8,20.2
2,9,22.9
2,10,22.1
2,11,24.4
2,12,18.7
2,13,19.2
2,14,21.8
2,15,19.9
2,16,18.3
5,1,19.4
5,2,18.5
5,3,20.4
5,4,19.2
5,5,18
5,6,20.5
5,7,17.7
5,8,19
5,9,17.7
5,1A,20.2
5,2A,17.5
5,3A,16.9
5,4A,17.2
5,5A,17.5
5,6A,18.1
7,1A,19.4
8,1,20.2
8,2,19.9
8,3,20.1
8,4,19.1
8,5,18.7
8,6,20.2
8,7,19.7
8,8,18.9
8,1A,21.2
8,2A,20.7
8,3A,20.4
8,4A,19.2
9,1,18.3
9,2,20.2
9,3,19.6
9,4,19.9
9,5,21.9
9,6,18.5
9,1A,17.9
10,1A,21.1
10,2A,20.3
11,1,17.3
11,2,21.6
11,3,19.4
11,4,20.3
11,5,18
11,A,20.6
11,1A,20.9
11,2A,19.8
11,3A,18
12,1,20
12,A,20.6
12,B,21.3
15,1,20.8
15,2,19.9
15,1A,20.5
16,1,20.4
16,2,20.1
16,3,21.1
16,4,20.4
16,5,22.2
16,6,20.4
16,7,21.9
16,8,20.8
16,9,21.7
16,10,22.2
16,11,21
16,12,21.7
16,13,19.1
16,14,18.8
16,15,21.6
16,16,21.7
16,17,20.3
16,18,22.5
16,19,21.2
16,1A,20.3
18,1,20.6
18,2,18.6
18,3,22.2
18,4,19.3
18,5,20.9
18,6,19.8
18,7,21.1
18,8,20.1
18,9,19.4
18,10,21.6
18,11,19.5
18,12,21.6
18,13,19.3
18,14,20.9
18,15,20.4
18,16,20.2
18,17,21.2
18,18,19.5
18,19,20.4
18,20,21
18,21,20.3
18,22,21
18,23,20.2
18,24,18.9
18,25,21.2
18,26,19.3
18,27,22.4
18,28,20.4
18,29,21.3
18,30,21.2
18,31,19.7
18,32,20.6
18,33,21.3
18,34,20.5
18,35,18.9
18,36,21
18,37,20.4
18,38,20.6
19,1,20.1
19,2,20.7
19,3,18.9
19,4,21.9
19,5,19.9
19,1A,20.5
20,1,21.2
20,2,20.2
20,3,19.6
20,4,21.4
20,5,20.6
20,A,21.2
20,1A,18.8
20,2A,18.6
21,1,19.9
21,2,20
21,3,20.1
21,4,20.1
21,5,19.6
21,6,18.6
21,7,21.4
21,8,18.4
21,9,20.3
21,10,20.1
21,11,19.8
21,12,18.8
21,13,18.9
21,14,19.1
21,15,19
21,16,19.9
21,1A,17.7
21,2A,18.5
21,3A,18.9
21,4A,18.2
22,1,19.6
22,2,17.3
22,3,21.1
22,4,19.1
22,5,19.9
22,6,19.2
22,7,19.1
22,8,20
22,9,19
22,1A,19.5
22,2A,18.9
22,3A,19.2
23,1,20.2
23,2,20.4
24,1,21.5
24,2,18.1
24,3,19.5
24,4,19.2
24,5,21.6
24,6,21.2
24,7,20.1
24,8,21
24,9,21.8
24,10,19.6
24,11,21.6
24,12,21.9
24,13,19.8
24,14,21
25,1,19.6
25,2,19.4
25,3,19.5
25,4,19.7
25,5,19.3
25,6,20.4
25,7,19.1
25,8,22.1
25,9,19.8
25,10,19.4
25,11,20.5
25,12,20.5
25,13,20.2
25,14,19.1
25,15,21.3
25,16,19
25,17,18.9
25,18,18.4
25,1A,20
26,1,20
27,1,20.1
27,2,20.4
27,3,20.9
27,4,19.5
27,5,19.7
27,6,20.2
27,7,21.8
27,8,21.2
27,9,18.7
27,1A,20.3
27,2A,19.6
27,3A,NA
27,4A,18.6
27,5A,19.2
27,6A,21.1
28,1,20.9
28,2,20.1
28,3,21.1
28,4,19.1
28,5,19.6
28,6,19.7
28,7,21.5
28,8,20
29,1,20.6
29,2,21.2
29,3,17.9
29,4,19.1
29,5,21
29,6,21.9
29,7,20
29,8,20.3
29,9,19.8
29,10,19.3
29,11,20.5
29,12,19.9
30,1,18.8
30,2,19.4
30,3,20.6
30,4,21.1
30,5,20.3
30,6,19.6
30,7,20.9
30,8,20.8
30,9,20.2
30,10,20.4
30,11,21
30,12,19.4
30,13,20.6
30,14,19.4
30,15,19.7
30,16,21.2
30,17,21
30,18,20
30,19,21.5
30,20,19.6
30,21,20.8
30,22,20.1
30,23,20.7
30,24,20.8
30,1A,19.5
32,1,20.2
32,1A,18.1
32,2A,19.8
33,1,23.2
33,2,20
33,3,21.8
33,4,19.1
33,5,21.6
33,6,20.4
33,1A,21.2
33,2A,19.4
34,1,19.9
35,1,20.8
35,2,19.1
35,3,20.9
35,4,19.1
35,5,19.8
35,6,19.8
35,7,21.1
35,8,21.2
35,9,20.7
35,10,20.5
35,11,19.8
35,12,20.9
35,13,21.6
35,14,20
35,15,19.9
35,1A,21
36,1,18.6
36,2,NA
